Timestamp,Data
8/9/2023 2:54:56 PM,10,4,8
8/9/2023 2:54:58 PM,10,9,9
8/9/2023 2:54:59 PM,10,9,9
8/9/2023 2:55:00 PM,10,9,9
8/9/2023 2:55:01 PM,10,9,9
8/9/2023 2:55:02 PM,10,9,9
8/9/2023 2:55:03 PM,10,9,9
8/9/2023 2:55:04 PM,10,9,9
8/9/2023 2:55:05 PM,10,9,9
8/9/2023 2:55:06 PM,10,9,9
8/9/2023 2:55:07 PM,10,9,9
8/9/2023 2:55:08 PM,10,9,9
8/9/2023 2:55:09 PM,10,9,9
8/9/2023 2:55:10 PM,10,9,9
8/9/2023 2:55:11 PM,10,9,9
8/9/2023 2:55:12 PM,10,9,9
8/9/2023 2:55:13 PM,10,9,9
8/9/2023 2:55:14 PM,10,9,9
8/9/2023 2:55:15 PM,10,9,9
8/9/2023 2:55:16 PM,10,9,9
8/9/2023 2:55:17 PM,10,9,9
